Squad,# Pl,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,1.76,1.45,3.21,1.71,3.16
Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,1.47,1.18,2.66,1.39,2.58
Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,1.5,1.08,2.58,1.34,2.42
Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,1.71,1.16,2.87,1.58,2.74
Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,1.68,1.08,2.76,1.5,2.58
Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,1.61,1.24,2.84,1.5,2.74
Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,1.29,1.0,2.29,1.21,2.21
Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,1.03,0.71,1.74,0.97,1.68
Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,1.39,1.16,2.55,1.32,2.47
Ipswich Town,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,0.92,0.68,1.61,0.87,1.55
Leicester City,32,26.5,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,0.87,0.66,1.53,0.82,1.47
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,2.24,1.71,3.95,2.0,3.71
Manchester City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,1.87,1.34,3.21,1.79,3.13
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,1.11,0.76,1.87,1.0,1.76
Newcastle United,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,1.74,1.32,3.05,1.61,2.92
Nottingham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,1.5,1.11,2.61,1.42,2.53
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,0.66,0.42,1.08,0.66,1.08
Tottenham Hotspur,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,1.61,1.24,2.84,1.53,2.76
West Ham United,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,1.13,0.76,1.89,1.05,1.82
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,1.39,1.11,2.5,1.39,2.5
